TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
OSXB3;6,96;;0,18;0,00;0,01;90,26;2.749,78;404,29;0,03;5,87;5,85;;0,72;-0,04;-0,01;0,03;-2,24;5,49;-87,24;-2,45;3,46;0,01;89,07;;136.533,88;-1.737,60;38,91;0,00;21.910.344,48
PARD3;21,29;2,25;12,28;3,03;1,18;31,37;18,81;11,09;7,24;7,43;0,22;0,09;1,36;37,46;-1,79;1,10;24,66;9,57;23,69;0,39;0,61;0,86;17,16;17,20;3.901.816,92;7,04;1,74;0,30;2.783.295.143,75
PATI3;77,50;3,76;9,37;2,21;0,90;13,41;11,24;7,30;6,09;6,39;0,37;0,13;0,68;1,65;-6,75;2,66;23,52;9,55;12,12;0,41;0,59;1,31;31,30;67,99;44.765,00;35,14;8,27;0,68;1.834.027.314,58
PATI4;57,28;5,08;6,93;1,63;0,66;13,41;11,24;7,30;4,50;6,39;0,37;0,13;0,51;1,22;-4,99;2,66;23,52;9,55;12,12;0,41;0,59;1,31;31,30;67,99;19.834,29;35,14;8,27;0,50;1.834.027.314,58
PCAR3;20,32;1,74;2,62;0,38;0,12;25,18;3,15;4,27;3,56;6,64;3,07;0,33;0,11;4,02;-0,18;1,11;14,62;4,67;3,96;0,32;0,62;1,09;4,35;;46.260.066,42;53,01;7,75;-0,19;5.488.804.522,11
PCAR4;72,11;;9,31;1,36;0,43;25,18;3,15;4,27;12,63;6,64;3,07;0,33;0,40;14,26;-0,63;1,11;14,62;4,67;3,96;0,32;0,62;1,09;4,35;;;53,01;7,75;-0,67;5.488.804.522,11
PDGR3;1,31;;0,53;-0,01;0,06;20,38;-105,42;40,08;-0,20;-3,05;-2,85;;0,21;-0,04;-0,30;0,32;-2,73;11,41;17,50;-4,18;5,23;0,28;11,86;;1.025.077,42;-90,93;2,48;0,00;73.534.828,67
PDTC3;3,54;;29,53;2,23;0,65;34,25;14,48;2,67;5,45;6,13;0,70;0,29;0,79;1,90;-2,52;1,86;7,57;2,20;20,95;0,29;0,71;0,82;225,48;-38,34;340.934,21;1,58;0,12;-0,43;275.358.724,29
PEAB3;59,95;19,78;4,94;1,13;0,98;60,29;602,28;493,56;4,05;3,11;-1,44;-0,40;24,37;2,53;-1,71;10,78;22,98;19,83;19,51;0,86;0,14;0,04;-37,48;18,34;22.923,80;52,84;12,14;-0,07;867.072.508,05
PEAB4;75,00;17,39;6,18;1,42;1,22;60,29;602,28;493,56;5,06;3,11;-1,44;-0,40;30,49;3,16;-2,14;10,78;22,98;19,83;19,51;0,86;0,14;0,04;-37,48;18,34;26.079,10;52,84;12,14;-0,09;867.072.508,05
PETR3;33,07;34,91;2,87;0,99;0,43;49,27;47,69;29,53;1,78;2,49;0,78;0,44;0,85;6,23;-0,54;1,53;34,56;15,03;24,67;0,43;0,56;0,51;9,88;;626.655.826,58;33,29;11,50;0,02;413.379.743.924,82
PETR4;29,78;38,77;2,59;0,89;0,39;49,27;47,69;29,53;1,60;2,49;0,78;0,44;0,76;5,61;-0,49;1,53;34,56;15,03;24,67;0,43;0,56;0,51;9,88;;2.807.684.309,50;33,29;11,50;0,02;413.379.743.924,82
PETZ3;13,12;0,34;86,52;3,41;1,76;48,38;6,98;3,06;37,96;35,93;-2,06;-0,19;2,65;9,87;-2,78;1,95;3,94;2,04;6,96;0,52;0,48;0,66;;;160.004.533,79;3,85;0,15;2,24;6.039.014.760,35
PFRM3;3,71;7,31;7,27;0,42;0,10;14,13;2,03;0,95;3,40;7,71;4,29;0,53;0,07;0,56;-0,32;1,36;5,74;1,40;4,96;0,24;0,68;1,48;9,44;;471.417,42;8,87;0,51;1,69;461.821.643,29
PGMN3;6,59;;20,35;1,38;0,45;32,06;4,62;1,86;8,19;9,87;1,66;0,28;0,38;2,48;-0,94;1,54;6,81;2,22;10,72;0,33;0,67;1,19;6,32;28,07;7.064.913,75;4,76;0,32;2,09;2.933.392.819,82
PINE3;0,00;;0,00;0,00;0,00;13,35;0,73;0,86;0,00;14,69;;;0,00;0,00;0,00;0,58;1,21;0,06;;0,05;0,95;0,07;9,53;;;4,18;0,05;0,00;116.880.366,24
PINE4;1,32;;26,19;0,32;0,02;13,35;0,73;0,86;30,94;14,69;;;0,23;-0,09;-0,02;0,58;1,21;0,06;;0,05;0,95;0,07;9,53;;214.575,13;4,18;0,05;-0,23;116.880.366,24
PLAS3;8,00;;-0,78;-0,30;0,14;8,56;-5,25;-19,32;-2,86;-10,46;-7,60;;0,15;-0,29;-0,19;0,37;-38,65;-18,06;58,66;-0,47;1,47;0,93;11,76;;4.542,56;-26,68;-10,31;-0,03;99.403.344,00
PLPL3;2,61;6,18;4,98;1,61;0,39;29,70;10,76;8,40;3,89;4,89;0,99;0,41;0,42;0,55;-3,55;4,90;32,25;7,78;14,56;0,24;0,76;0,93;;;1.545.381,33;1,63;0,52;-0,15;535.150.720,00
PMAM3;7,00;;-1,33;-0,40;0,11;0,88;-7,29;-5,43;-0,99;-9,84;-8,85;;0,07;-1,77;-0,15;0,84;-29,88;-7,97;-15,92;-0,27;1,27;1,47;0,55;;719.087,13;-17,67;-5,28;0,02;304.695.019,98
PNVL3;11,59;1,51;21,83;1,63;0,70;30,55;3,03;2,36;17,03;23,13;6,14;0,59;0,52;3,07;-1,67;1,65;7,47;3,21;5,25;0,43;0,57;1,36;8,67;8,49;7.535.526,83;7,10;0,53;0,76;1.738.363.680,36
PNVL4;18,62;0,21;35,11;2,62;1,13;30,55;3,03;2,36;27,38;23,13;6,14;0,59;0,83;4,93;-2,68;1,65;7,47;3,21;5,25;0,43;0,57;1,36;8,67;8,49;83.188,67;7,10;0,53;1,22;1.738.363.680,36
POMO3;2,43;4,40;4,80;0,79;0,34;10,16;7,05;13,23;9,01;14,50;4,42;0,39;0,63;1,48;-0,73;1,79;16,41;7,16;3,73;0,44;0,56;0,54;6,33;16,92;439.911,17;3,08;0,51;0,01;2.573.319.915,36
POMO4;2,85;3,72;5,69;0,93;0,41;10,16;7,05;13,23;10,68;14,50;4,42;0,39;0,75;1,75;-0,86;1,79;16,41;7,16;3,73;0,44;0,56;0,54;6,33;16,92;11.975.051,58;3,08;0,51;0,01;2.573.319.915,36
PORT3;8,93;5,01;11,90;1,77;0,74;43,22;24,93;15,28;7,29;11,19;3,92;0,95;1,82;27,05;-0,88;1,20;14,84;6,22;9,52;0,42;0,58;0,41;6,17;2,45;8.221.037,92;5,06;0,75;0,13;3.920.120.226,00
POSI3;8,36;4,07;6,84;1,08;0,29;21,95;10,11;4,66;3,15;4,87;1,73;0,59;0,32;0,83;-1,86;1,69;15,74;4,18;15,56;0,27;0,73;0,90;14,02;81,35;16.392.660,25;7,77;1,22;-0,24;1.179.776.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;5.388.846,38;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;;1,22;0,02;0,02;;;;1,57;-3,05;-4,62;-0,06;;0,33;-0,02;150,59;1,75;1,25;1,36;0,71;0,29;0,00;;-9,58;;681,74;11,93;0,00;1.080.400,00
PPLA11;5,40;;1.013,28;1.381,75;15,62;;;;1.013,28;1.013,28;;;;-15,80;-15,62;0,00;136,36;1,54;;0,01;0,99;0,00;;-83,09;21.880,08;0,00;0,01;-10,01;15.199.196,40
PRIO3;28,86;;10,30;3,78;1,98;59,99;52,28;46,82;9,23;9,00;-0,23;-0,09;4,82;4,31;-4,20;7,52;36,71;19,19;23,73;0,52;0,48;0,41;61,68;59,16;463.787.200,46;7,62;2,80;0,02;25.420.215.888,00
PRNR3;6,82;1,37;13,01;1,13;0,65;17,47;6,33;4,21;8,66;9,02;0,33;0,04;0,55;3,09;-1,34;1,68;8,70;4,97;8,24;0,57;0,43;1,18;16,24;26,61;985.398,00;6,03;0,52;-0,03;266.521.560,45
PSSA3;20,87;6,77;9,49;1,45;0,32;100,00;4,66;6,40;13,02;4,19;-8,87;-0,99;0,61;6,13;-0,92;1,09;15,32;3,35;10,76;0,22;0,78;0,52;5,64;9,25;32.832.402,63;14,38;2,20;-0,50;13.558.909.678,20
PTBL3;8,44;8,63;5,58;2,91;0,57;43,90;15,91;10,56;3,70;5,28;1,57;1,24;0,59;4,04;-1,09;1,42;52,24;10,24;26,60;0,20;0,80;0,97;13,47;151,40;5.186.789,21;2,90;1,51;0,13;1.194.158.924,42
PTCA11;0,00;;0,00;0,00;0,00;43,59;15,66;10,44;0,00;1,56;1,56;0,72;0,00;0,00;0,00;1,80;30,70;11,25;18,98;0,37;0,63;1,08;25,03;37,87;;17,59;5,40;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;43,59;15,66;10,44;0,00;1,56;1,56;0,72;0,00;0,00;0,00;1,80;30,70;11,25;18,98;0,37;0,63;1,08;25,03;37,87;;17,59;5,40;0,00;0,00
PTNT3;12,90;1,57;7,95;1,90;0,84;16,20;11,74;9,31;6,30;5,35;1,34;0,40;0,74;3,52;-1,79;1,82;23,88;10,58;13,07;0,44;0,47;1,14;8,13;50,78;38.147,58;6,80;1,62;0,04;394.631.903,12
