TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
PLPL3,2.14,7.53,4.08,1.32,0.32,29.7,10.76,8.4,3.19,4.18,0.99,0.41,0.34,0.45,-2.91,4.9,32.25,7.78,14.56,0.24,0.76,0.93,0.0,0.0,1608593.03,1.63,0.52,-0.12,437107840.0
PMAM3,6.13,0.0,-1.16,-0.35,0.09,0.88,-7.29,-5.43,-0.87,-9.71,-8.85,0.0,0.06,-1.55,-0.13,0.84,-29.88,-7.97,-15.92,-0.27,1.27,1.47,0.55,0.0,656712.65,-17.67,-5.28,0.02,266065594.37
PNVL3,9.62,1.81,18.14,1.36,0.58,30.55,3.03,2.36,14.15,20.28,6.14,0.59,0.43,2.55,-1.38,1.65,7.47,3.21,5.25,0.43,0.57,1.36,8.67,8.49,7232491.44,7.1,0.53,0.63,1446631367.22
POMO4,2.56,4.18,5.06,0.83,0.36,10.16,7.05,13.23,9.49,13.41,4.42,0.39,0.67,1.56,-0.77,1.79,16.41,7.16,3.73,0.44,0.56,0.54,6.33,16.92,10866661.88,3.08,0.51,0.01,2294227995.2
PORT3,8.35,5.35,11.13,1.65,0.69,43.22,24.93,15.28,6.82,10.74,3.92,0.95,1.7,25.3,-0.82,1.2,14.84,6.22,9.52,0.42,0.58,0.41,6.17,2.45,7141064.18,5.06,0.75,0.12,3673737810.0
POSI3,6.46,5.27,5.28,0.83,0.22,21.95,10.11,4.66,2.44,4.17,1.73,0.59,0.25,0.64,-1.44,1.69,15.74,4.18,15.56,0.27,0.73,0.9,14.02,81.35,19352142.71,7.77,1.22,-0.19,916028000.0
PRIO3,23.04,0.0,8.24,3.02,1.58,59.99,52.28,46.82,7.38,7.15,-0.23,-0.09,3.86,3.45,-3.36,7.52,36.71,19.19,23.73,0.52,0.48,0.41,61.68,59.16,455598176.71,7.62,2.8,0.01,20336172710.4
PRNR3,5.04,1.86,9.61,0.84,0.48,17.47,6.33,4.21,6.4,6.73,0.33,0.04,0.41,2.29,-0.99,1.68,8.7,4.97,8.24,0.57,0.43,1.18,16.24,26.61,866983.26,6.03,0.52,-0.02,196097615.28
PSSA3,18.52,7.65,8.41,1.29,0.28,100.0,4.66,6.4,11.53,2.66,-8.87,-0.99,0.54,5.43,-0.82,1.09,15.32,3.35,10.76,0.22,0.78,0.52,5.64,9.25,30538603.59,14.38,2.2,-0.45,11974773831.2
PTBL3,6.5,11.2,4.29,2.24,0.44,43.9,15.91,10.56,2.85,4.42,1.57,1.24,0.45,3.12,-0.84,1.42,52.24,10.24,26.6,0.2,0.8,0.97,13.47,151.4,5226563.59,2.9,1.51,0.1,916414759.0
QUAL3,14.0,2.27,12.22,2.96,0.9,79.79,29.18,15.68,6.56,8.79,2.22,1.0,1.92,-3.04,-1.24,0.48,24.23,7.39,13.29,0.31,0.69,0.47,1.31,-4.27,39169377.35,4.73,1.15,-0.48,3976200550.0
RADL3,19.11,1.23,43.95,6.64,2.03,29.89,5.28,2.87,23.84,25.13,1.29,0.36,1.26,12.15,-4.48,1.44,15.12,4.62,16.86,0.31,0.69,1.61,16.47,9.92,157547223.62,2.88,0.43,1.29,31568382300.0
RAIL3,16.89,0.11,-354.5,2.13,0.7,27.76,20.17,-1.12,19.65,26.35,6.7,0.73,3.96,7.13,-0.89,1.87,-0.6,-0.2,4.9,0.33,0.67,0.18,11.53,0.0,194951789.09,7.93,-0.05,3.17,31316741979.99
RAIZ4,5.08,1.3,16.7,2.36,0.52,6.12,3.23,1.65,8.52,12.49,3.96,1.1,0.28,7.93,-0.99,1.16,14.15,3.14,9.49,0.22,0.78,1.91,0.0,0.0,87560208.26,2.15,0.3,0.08,52590748178.72
RANI3,6.8,9.02,5.12,1.65,0.72,42.39,30.26,20.56,3.48,4.43,0.95,0.45,1.05,3.1,-1.12,2.93,32.23,14.12,20.35,0.44,0.56,0.69,15.63,0.0,9507280.47,4.12,1.33,0.03,1745697598.0
RAPT4,9.33,6.9,4.43,1.17,0.28,24.95,11.93,7.21,2.68,5.11,2.57,1.12,0.32,0.97,-0.75,1.83,26.43,6.24,12.66,0.24,0.7,0.87,28.12,0.0,23674293.29,7.97,2.11,-0.35,2917688221.98
RCSL3,1.9,0.0,-88.17,-3.91,2.26,12.93,2.35,-2.46,92.53,53.26,-0.41,0.0,2.17,28.32,-4.12,1.21,-4.43,-2.56,-4.07,-0.58,1.58,1.04,0.0,0.0,3434622.06,-0.49,-0.02,0.0,83567101.8
