TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VSPT3;4,99;;-1,31;0,17;0,08;-2,93;-11,47;-18,52;-2,11;-3,16;-1,05;0,09;0,24;-2,11;-0,09;0,69;-13,10;-6,46;-8,15;0,49;0,51;0,35;11,60;;;29,09;-3,81;-0,01;712.610.842,16
VSPT4;0,00;;0,00;0,00;0,00;-2,93;-11,47;-18,52;0,00;-3,16;-1,05;0,09;0,00;0,00;0,00;0,69;-13,10;-6,46;-8,15;0,49;0,51;0,35;11,60;;;29,09;-3,81;0,00;712.610.842,16
VSTE3;12,36;;-1,61;-2,22;0,92;58,11;-55,44;-80,76;-2,35;-5,39;-3,04;;1,30;-10,34;-1,32;0,78;-137,83;-56,84;-52,92;-0,41;1,41;0,70;-4,90;;635.232,33;-5,56;-7,66;0,03;1.401.956.780,64
VULC3;10,75;3,44;5,62;1,54;1,05;36,95;17,48;18,52;5,96;6,56;0,50;0,13;1,04;2,58;-2,85;2,80;27,45;18,64;20,13;0,68;0,32;1,01;14,97;19,99;3.831.531,72;6,97;1,91;0,11;2.688.573.309,36
VVEO3;17,23;2,52;17,72;2,15;0,60;16,14;6,18;3,59;10,30;13,57;3,19;0,67;0,64;2,02;-1,41;2,05;12,13;3,37;8,29;0,28;0,72;0,94;;;2.809.946,84;8,01;0,97;-0,70;4.967.101.529,60
WEGE3;39,42;1,36;39,32;10,85;5,88;29,08;16,89;14,07;32,75;32,46;-0,30;-0,10;5,53;17,62;-19,51;1,91;27,60;14,96;22,50;0,54;0,46;1,06;25,71;29,80;261.064.726,68;3,63;1,00;2,27;165.500.248.661,14
WEST3;0,96;;-2,28;0,30;0,25;41,97;-27,71;-16,90;-1,39;0,33;1,71;-0,37;0,39;0,45;-0,71;6,77;-13,22;-10,92;-23,69;0,83;0,17;0,65;;;189.246,44;3,18;-0,42;-0,04;104.837.985,30
WHRL3;4,34;4,31;12,05;2,67;0,81;16,50;7,83;4,95;7,62;7,24;-0,55;-0,19;0,60;12,62;-2,65;1,10;22,16;6,69;20,32;0,30;0,70;1,35;14,11;11,67;9.542,96;1,63;0,36;-0,25;6.670.759.253,36
WHRL4;4,49;4,58;12,46;2,76;0,83;16,50;7,83;4,95;7,88;7,24;-0,55;-0,19;0,62;13,06;-2,74;1,10;22,16;6,69;20,32;0,30;0,70;1,35;14,11;11,67;38.681,92;1,63;0,36;-0,25;6.670.759.253,36
WIZC3;6,72;8,75;6,88;2,47;0,54;58,20;41,06;17,81;2,99;3,06;0,08;0,07;1,23;-11,23;-0,66;0,79;35,93;7,84;22,59;0,22;0,51;0,44;15,13;1,48;4.810.410,52;2,72;0,98;-0,48;1.072.977.862,22
WLMM3;22,00;6,18;7,06;1,39;1,14;13,88;7,94;6,36;5,66;5,23;-0,62;-0,15;0,45;2,75;-2,31;5,59;19,63;16,16;17,00;0,82;0,18;2,54;34,55;;4.400,00;15,87;3,11;0,33;827.316.094,00
WLMM4;23,68;3,85;7,60;1,49;1,23;13,88;7,94;6,36;6,10;5,23;-0,62;-0,15;0,48;2,96;-2,48;5,59;19,63;16,16;17,00;0,82;0,18;2,54;34,55;;11.051,00;15,87;3,11;0,36;827.316.094,00
YDUQ3;6,74;1,88;-43,98;0,66;0,21;55,27;12,65;-1,05;3,65;10,94;7,30;1,33;0,46;1,95;-0,29;1,64;-1,51;-0,48;5,81;0,32;0,68;0,46;6,64;;46.066.632,32;10,15;-0,15;0,32;2.080.167.967,23
ZAMP3;4,81;;-23,74;0,89;0,32;64,39;2,65;-1,53;13,69;18,80;5,11;0,33;0,36;20,41;-0,42;1,07;-3,76;-1,35;3,53;0,36;0,64;0,88;15,36;;5.858.579,60;5,39;-0,20;0,30;1.324.459.700,07
